epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,19169.8,0.70429,0.56177,1.0197,0.43425,0.33746,0.28715,0.11494,2.30791,2.97061,2.64757,0.000145775,0.000145775,0.000145775
127,19309.9,0.70798,0.55246,0.99733,0.45913,0.3399,0.28473,0.11442,2.30635,2.96714,2.64799,0.000140277,0.000140277,0.000140277
128,19447.7,0.70708,0.57523,1.01812,0.431,0.36515,0.28919,0.11661,2.30682,2.95539,2.66773,0.000134779,0.000134779,0.000134779
129,19588.4,0.70949,0.56511,1.01528,0.42977,0.36502,0.29183,0.11613,2.28595,2.94194,2.64166,0.000129282,0.000129282,0.000129282
130,19729.5,0.7,0.566,1.01329,0.46289,0.35619,0.28368,0.11582,2.2794,2.93682,2.63149,0.000123784,0.000123784,0.000123784
131,19869.2,0.67974,0.54775,1.00694,0.46094,0.36717,0.27854,0.11225,2.28094,2.94622,2.62714,0.000118286,0.000118286,0.000118286
132,20009.6,0.68754,0.56006,1.00372,0.50769,0.33023,0.27847,0.1096,2.30841,3.01069,2.65908,0.000112788,0.000112788,0.000112788
133,20149.4,0.70067,0.56112,1.00772,0.45959,0.35703,0.27803,0.11099,2.31973,3.0142,2.65425,0.00010729,0.00010729,0.00010729
134,20290,0.71101,0.56778,1.02488,0.50716,0.32798,0.28388,0.11151,2.31894,2.99837,2.64483,0.000101793,0.000101793,0.000101793
135,20430,0.66127,0.53119,0.99835,0.46266,0.34281,0.27839,0.10947,2.31406,3.0104,2.64124,9.62948e-05,9.62948e-05,9.62948e-05
136,20570.1,0.65415,0.53275,0.99301,0.44322,0.34192,0.2773,0.10993,2.29059,3.00514,2.63651,9.0797e-05,9.0797e-05,9.0797e-05
137,20710.2,0.66774,0.53423,0.98239,0.48293,0.31492,0.2825,0.11078,2.29164,2.99383,2.64466,8.52992e-05,8.52992e-05,8.52992e-05
138,20850.7,0.6707,0.53828,1.01139,0.516,0.31777,0.28678,0.11152,2.31357,2.99644,2.67348,7.98014e-05,7.98014e-05,7.98014e-05
139,20989.7,0.64824,0.53036,0.98557,0.52196,0.32008,0.28879,0.11177,2.31496,2.98382,2.68145,7.43036e-05,7.43036e-05,7.43036e-05
140,21130.6,0.65562,0.53073,0.98548,0.50064,0.3226,0.28724,0.11375,2.32335,2.98008,2.69709,6.88058e-05,6.88058e-05,6.88058e-05
141,21272.1,0.72919,0.59124,1.05504,0.47346,0.32693,0.27756,0.10792,2.32847,2.9656,2.7099,6.3308e-05,6.3308e-05,6.3308e-05
142,21411.5,0.68276,0.54027,1.00793,0.45192,0.33534,0.26425,0.10599,2.31493,2.97024,2.71111,5.78102e-05,5.78102e-05,5.78102e-05
143,21550.2,0.65619,0.51279,1.00201,0.44764,0.33791,0.27048,0.10926,2.30296,2.94754,2.70287,5.23124e-05,5.23124e-05,5.23124e-05
144,21689.8,0.63762,0.48109,0.97967,0.45116,0.3292,0.27462,0.11037,2.28928,2.92657,2.6995,4.68146e-05,4.68146e-05,4.68146e-05
145,21829.9,0.63813,0.48712,0.98054,0.43233,0.33089,0.27295,0.11065,2.28388,2.91961,2.70045,4.13168e-05,4.13168e-05,4.13168e-05
146,21971.3,0.59037,0.44643,0.94969,0.46461,0.31319,0.27222,0.11026,2.28661,2.93234,2.70338,3.5819e-05,3.5819e-05,3.5819e-05
147,22109.5,0.59943,0.45499,0.96663,0.43455,0.34723,0.27755,0.11296,2.30425,2.93829,2.71104,3.03212e-05,3.03212e-05,3.03212e-05
148,22247.2,0.58626,0.45471,0.95613,0.47626,0.32142,0.28061,0.1168,2.3002,2.9448,2.70832,2.48234e-05,2.48234e-05,2.48234e-05
149,22385.6,0.58122,0.46021,0.95063,0.48291,0.31969,0.27957,0.11617,2.29589,2.92888,2.70779,1.93256e-05,1.93256e-05,1.93256e-05
150,22525.2,0.59289,0.45914,0.97384,0.48657,0.32087,0.27986,0.11663,2.29823,2.94644,2.70389,1.38278e-05,1.38278e-05,1.38278e-05
